epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,152.193,0.66726,0.39936,1.01797,1,0.99922,0.995,0.82765,0.71889,0.34175,0.94659,0.0004754,0.0004754,0.0004754
79,154.305,0.71714,0.41151,1.01781,1,1,0.995,0.83186,0.70853,0.33338,0.93933,0.0004556,0.0004556,0.0004556
80,156.267,0.68599,0.40887,1.03542,0.99952,1,0.995,0.83376,0.70822,0.32908,0.94654,0.0004358,0.0004358,0.0004358
81,158.289,0.68526,0.3998,1.01898,0.98308,0.98333,0.97989,0.82022,0.73593,0.325,0.95674,0.000416,0.000416,0.000416
82,160.33,0.66887,0.39434,1.0179,0.98309,0.98333,0.97454,0.80218,0.73544,0.31901,0.96577,0.0003962,0.0003962,0.0003962
83,162.225,0.6619,0.38676,1.01,0.99963,1,0.995,0.81395,0.73089,0.32553,0.96984,0.0003764,0.0003764,0.0003764
84,164.205,0.64655,0.38451,1.0032,0.99991,1,0.995,0.80891,0.72759,0.32662,0.96508,0.0003566,0.0003566,0.0003566
85,166.08,0.65516,0.38009,1.01395,0.98333,0.98315,0.98009,0.80642,0.73435,0.3286,0.96386,0.0003368,0.0003368,0.0003368
86,167.977,0.66722,0.39735,0.99879,0.98333,0.98309,0.97882,0.82359,0.7335,0.32921,0.96386,0.000317,0.000317,0.000317
87,169.854,0.68801,0.39697,1.00798,0.98333,0.98305,0.97887,0.80959,0.75257,0.32139,0.97255,0.0002972,0.0002972,0.0002972
88,172.027,0.65614,0.37503,1.00104,0.98333,0.98308,0.97358,0.80589,0.74684,0.3162,0.96588,0.0002774,0.0002774,0.0002774
89,173.996,0.64289,0.37879,0.99551,0.99979,1,0.995,0.8097,0.73937,0.31778,0.96068,0.0002576,0.0002576,0.0002576
90,175.798,0.65482,0.38835,1.00807,1,0.99987,0.995,0.8096,0.73554,0.32321,0.96045,0.0002378,0.0002378,0.0002378
91,195.547,0.56788,0.35679,0.94167,1,0.99934,0.995,0.80289,0.7348,0.31695,0.96238,0.000218,0.000218,0.000218
92,197.445,0.5829,0.32013,0.92922,1,0.99879,0.995,0.80703,0.72939,0.32563,0.95869,0.0001982,0.0001982,0.0001982
93,199.333,0.59037,0.32481,0.93789,0.99836,0.98333,0.99484,0.80862,0.72852,0.32854,0.95713,0.0001784,0.0001784,0.0001784
94,201.279,0.59976,0.31171,0.92978,0.99814,0.98333,0.99484,0.81953,0.72461,0.32479,0.95837,0.0001586,0.0001586,0.0001586
95,203.063,0.55388,0.29939,0.93239,0.98133,0.96667,0.97514,0.80378,0.73961,0.33185,0.96923,0.0001388,0.0001388,0.0001388
96,204.805,0.57151,0.30106,0.94401,0.98135,0.96667,0.97382,0.79572,0.73179,0.33232,0.96701,0.000119,0.000119,0.000119
97,206.653,0.55846,0.29923,0.89912,0.98133,0.96667,0.97464,0.80571,0.71144,0.32508,0.95788,9.92e-05,9.92e-05,9.92e-05
98,208.497,0.55034,0.29189,0.92089,0.99822,0.98333,0.99269,0.81171,0.70407,0.32918,0.94839,7.94e-05,7.94e-05,7.94e-05
99,210.441,0.54317,0.28634,0.92316,0.9983,0.98333,0.993,0.82638,0.69312,0.32733,0.94455,5.96e-05,5.96e-05,5.96e-05
100,212.363,0.55558,0.29739,0.91475,0.99839,0.98333,0.99311,0.82157,0.6906,0.32126,0.94564,3.98e-05,3.98e-05,3.98e-05
